price,levy,brand,category,leather_interior,fuel_type,engine_volume,mileage,cylinders,type,drive_wheels,doors,wheel,color,airbags,car_age
1034900,781,toyota,minivan,yes,petrol,2.4,170000,4.0,automatic,front,4,right,black,6,17
533100,781,mercedes-benz,sedan,no,petrol,1.6,130000,4.0,automatic,front,4,left,black,6,20
2052600,640,hyundai,jeep,yes,diesel,2.0,200279,4.0,automatic,front,4,left,grey,4,11
3465700,777,hyundai,minivan,yes,diesel,2.5,154672,4.0,automatic,front,4,left,silver,4,10
3656400,1091,hyundai,minivan,yes,diesel,2.5,110969,4.0,automatic,front,4,left,black,4,8
31400,779,toyota,sedan,yes,hybrid,2.5,225510,4.0,automatic,front,4,left,white,12,11
1580000,769,chevrolet,jeep,yes,diesel,2.2,255456,4.0,automatic,front,4,left,silver,4,13
5315400,891,hyundai,jeep,yes,diesel,2.0,84506,4.0,automatic,front,4,left,silver,4,8
1474000,645,toyota,hatchback,no,hybrid,1.8,288000,4.0,automatic,front,4,left,white,8,13
376300,1053,mercedes-benz,jeep,yes,petrol,3.5,94362,6.0,automatic,rear,4,left,white,12,10
1818900,781,toyota,sedan,no,petrol,1.8,175000,4.0,automatic,front,4,left,silver,8,12
22000,1185,ford,jeep,yes,hybrid,2.5,193614,4.0,automatic,front,4,left,white,0,15
564500,1324,toyota,jeep,yes,hybrid,3.3,264877,6.0,automatic,4x4,4,left,white,12,14
752700,830,toyota,sedan,yes,petrol,1.5,27656,4.0,automatic,front,4,left,white,12,5
2195300,781,toyota,sedan,no,petrol,2.5,195053,4.0,automatic,front,4,left,black,0,12
1912100,531,hyundai,sedan,yes,petrol,1.6,121362,4.0,automatic,front,4,left,black,4,12
3606500,639,hyundai,jeep,yes,diesel,2.0,69191,4.0,automatic,front,4,left,white,4,10
624700,760,chevrolet,sedan,yes,petrol,1.8,40772,4.0,automatic,front,4,left,black,4,14
1628900,642,chevrolet,jeep,yes,diesel,2.0,172000,4.0,automatic,front,4,left,grey,4,12
7777500,1604,mercedes-benz,jeep,yes,petrol,5.5,433811,8.0,automatic,4x4,4,left,black,10,10
282200,781,bmw,sedan,yes,petrol,2.0,350000,6.0,manual,rear,4,left,blue,2,29
2728400,891,hyundai,sedan,no,petrol,2.0,105394,4.0,automatic,front,4,left,black,12,8
3292900,781,bmw,coupe,yes,petrol,2.0,160000,4.0,automatic,rear,2,left,black,12,11
1505300,781,mercedes-benz,sedan,yes,petrol,3.2,214000,6.0,automatic,rear,4,left,grey,8,20
1545800,966,hyundai,coupe,yes,petrol,2.0,123346,4.0,automatic,front,4,left,black,4,15
290100,473,chevrolet,sedan,yes,petrol,1.4,80827,4.0,automatic,front,4,left,green,12,10
31400,382,ford,sedan,yes,hybrid,2.0,91760,4.0,automatic,front,4,left,black,12,9
2665700,781,mercedes-benz,microbus,no,diesel,2.2,300000,4.0,manual,rear,4,left,white,1,20
1066300,988,toyota,hatchback,no,petrol,1.5,318400,4.0,automatic,front,4,left,silver,6,17
101900,917,bmw,jeep,yes,diesel,3.0,137802,6.0,automatic,4x4,4,left,black,12,11
54900,917,bmw,sedan,yes,hybrid,3.0,151586,6.0,automatic,rear,4,left,white,12,11
8555300,1156,ford,jeep,yes,petrol,2.3,100567,4.0,automatic,front,4,left,black,4,7
1715800,687,hyundai,sedan,yes,petrol,1.6,122740,4.0,automatic,front,4,left,white,4,14
1191700,11714,mercedes-benz,sedan,yes,petrol,5.0,150000,12.0,automatic,rear,4,right,white,12,21
1489700,836,hyundai,jeep,yes,diesel,2.0,58962,4.0,automatic,front,4,left,white,4,14
2352100,779,toyota,sedan,yes,hybrid,2.5,90000,4.0,automatic,front,4,left,white,12,11
101900,1537,toyota,sedan,yes,hybrid,3.3,318358,6.0,automatic,4x4,4,left,black,12,15
1693500,765,ford,sedan,yes,petrol,2.0,71454,4.0,automatic,front,4,left,black,0,9
1944400,781,toyota,sedan,yes,petrol,2.5,0,4.0,automatic,front,4,left,black,6,12
5196500,891,hyundai,jeep,yes,diesel,2.0,59515,4.0,automatic,front,4,left,blue,4,8
70600,394,toyota,sedan,yes,hybrid,2.5,115312,4.0,automatic,front,4,left,grey,12,10
940800,781,mercedes-benz,sedan,no,diesel,2.2,111111,4.0,manual,rear,4,left,silver,4,25
2007100,781,toyota,jeep,no,petrol,2.4,135000,4.0,automatic,4x4,4,left,silver,8,16
1866000,781,hyundai,sedan,yes,petrol,2.4,130000,4.0,automatic,front,4,left,black,6,11
2258000,1017,mercedes-benz,sedan,yes,petrol,2.0,50930,4.0,automatic,rear,4,left,black,12,7
1881700,609,toyota,sedan,yes,hybrid,2.5,35058,4.0,automatic,front,4,left,white,12,6
1787600,585,hyundai,sedan,yes,petrol,1.8,117920,4.0,automatic,front,4,left,grey,12,11
3606500,1399,toyota,minivan,yes,petrol,3.5,227200,6.0,automatic,front,4,left,white,16,14
86200,394,toyota,sedan,yes,hybrid,2.5,130478,4.0,automatic,front,4,left,white,12,10
62700,475,chevrolet,jeep,yes,hybrid,1.4,188419,4.0,automatic,front,4,left,red,0,12
4007000,690,toyota,hatchback,yes,petrol,1.5,25807,4.0,automatic,front,4,left,black,4,8
2101200,308,toyota,sedan,no,hybrid,1.8,160000,4.0,automatic,4x4,4,left,white,4,10
2101200,1823,toyota,sedan,yes,petrol,3.5,27358,6.0,automatic,front,4,left,grey,12,6
1562400,707,hyundai,coupe,yes,petrol,2.0,107005,4.0,automatic,front,4,left,grey,4,13
2000500,531,hyundai,sedan,yes,petrol,1.6,104997,4.0,automatic,front,4,left,white,4,12
784000,781,mercedes-benz,sedan,yes,petrol,2.4,777777,6.0,manual,rear,4,left,blue,4,26
4388000,891,hyundai,jeep,yes,diesel,2.0,113700,4.0,automatic,front,4,left,silver,4,8
2947900,584,mercedes-benz,sedan,yes,petrol,1.8,69000,4.0,automatic,rear,4,left,grey,8,10
4421300,891,hyundai,jeep,yes,diesel,2.0,50255,4.0,automatic,front,4,left,red,4,8
846700,2078,bmw,sedan,yes,petrol,2.5,252800,6.0,manual,rear,4,left,grey,6,23
313600,473,chevrolet,sedan,yes,petrol,1.4,156992,4.0,automatic,front,4,left,black,12,10
31400,1053,mercedes-benz,sedan,yes,diesel,3.5,149486,6.0,automatic,4x4,4,left,silver,12,10
5645000,781,toyota,sedan,yes,petrol,2.5,25000,4.0,automatic,front,4,left,blue,12,6
62700,836,toyota,sedan,yes,petrol,2.7,394069,4.0,automatic,rear,4,left,black,12,12
31400,1053,mercedes-benz,sedan,yes,diesel,3.5,149486,6.0,automatic,4x4,4,left,silver,12,10
70600,751,hyundai,sedan,yes,petrol,2.4,175827,4.0,automatic,front,4,left,black,12,11
580200,1055,mercedes-benz,sedan,yes,diesel,3.5,107800,6.0,automatic,rear,4,left,grey,12,11
2571600,777,toyota,sedan,no,petrol,2.5,115200,4.0,automatic,front,4,left,silver,8,10
1082000,781,toyota,jeep,no,petrol,2.0,91000,4.0,automatic,4x4,2,right,silver,4,23
4543600,1172,ford,jeep,yes,petrol,3.5,129177,4.0,automatic,front,4,left,white,4,13
1191700,893,hyundai,hatchback,no,diesel,1.6,201000,4.0,manual,front,4,left,black,8,16
4128100,765,hyundai,jeep,yes,diesel,2.0,185811,4.0,automatic,front,4,left,black,4,9
3006300,639,hyundai,jeep,yes,diesel,2.0,120000,4.0,automatic,front,4,left,white,4,10
2163900,781,hyundai,hatchback,no,petrol,1.6,17200,4.0,automatic,front,2,left,red,10,9
3669200,781,toyota,jeep,no,petrol,2.5,120000,4.0,automatic,front,4,left,white,0,11
1913000,2148,mercedes-benz,sedan,yes,petrol,5.5,157000,4.0,automatic,front,4,left,grey,10,14
300,781,hyundai,sedan,yes,petrol,1.8,80000,4.0,automatic,front,4,left,grey,6,13
595900,1730,chevrolet,sedan,yes,petrol,5.3,246976,8.0,automatic,front,4,left,black,12,13
2659400,777,hyundai,minivan,yes,diesel,2.5,179918,4.0,automatic,front,4,left,silver,4,10
1400000,585,hyundai,sedan,no,petrol,1.8,50000,4.0,automatic,front,4,left,grey,10,11
1792300,473,chevrolet,sedan,yes,petrol,1.4,127842,4.0,automatic,front,4,left,white,4,10
5451800,831,hyundai,jeep,yes,petrol,1.6,40193,4.0,automatic,front,4,left,black,4,7
815400,781,toyota,hatchback,no,petrol,1.3,115000,4.0,automatic,front,4,right,silver,7,22
28200,289,ford,jeep,yes,hybrid,0.4,220474,4.0,automatic,front,4,left,grey,0,16
345000,1249,toyota,sedan,yes,petrol,2.5,60762,4.0,automatic,front,4,left,white,12,7
2206300,836,hyundai,jeep,yes,diesel,2.0,142264,4.0,automatic,front,4,left,white,4,14
470400,585,toyota,sedan,yes,petrol,1.8,227371,4.0,automatic,front,4,left,silver,12,11
4265100,1017,mercedes-benz,jeep,yes,petrol,2.0,44995,4.0,automatic,4x4,4,left,black,0,7
1552400,586,toyota,hatchback,no,hybrid,1.8,122324,4.0,automatic,front,4,left,red,7,12
1724900,781,bmw,sedan,yes,petrol,3.0,111111,6.0,automatic,rear,4,left,grey,10,17
86200,333,ford,sedan,yes,hybrid,2.0,186048,4.0,automatic,front,4,left,black,0,10
2890900,831,hyundai,sedan,yes,diesel,1.6,98000,4.0,automatic,front,4,left,white,4,7
3073400,1053,mercedes-benz,sedan,yes,diesel,3.5,200179,6.0,automatic,4x4,4,left,black,12,10
2258000,779,toyota,sedan,yes,petrol,2.5,156666,4.0,automatic,front,4,left,black,12,11
86200,259,chevrolet,jeep,yes,hybrid,1.4,133195,4.0,automatic,front,4,left,black,0,10
133300,1091,ford,sedan,yes,petrol,2.5,154850,4.0,automatic,front,4,left,black,12,8
5986500,879,hyundai,jeep,yes,diesel,1.6,13000,4.0,automatic,front,4,left,white,4,5
4923700,1342,toyota,jeep,yes,petrol,2.7,94262,4.0,automatic,rear,4,left,white,12,7
39200,1017,mercedes-benz,sedan,yes,petrol,2.0,1600,4.0,automatic,rear,4,left,black,12,7
2226600,781,ford,sedan,yes,petrol,1.6,85500,4.0,automatic,front,4,left,black,8,11
243000,1598,mercedes-benz,sedan,yes,diesel,3.0,175614,6.0,automatic,rear,4,left,black,12,16
28200,333,ford,sedan,yes,hybrid,2.0,0,4.0,automatic,front,4,left,silver,0,10
3355600,765,mercedes-benz,sedan,yes,petrol,2.0,0,4.0,automatic,rear,4,left,black,12,9
1630800,781,ford,microbus,no,diesel,2.2,180000,4.0,manual,front,4,left,white,2,16
47000,1058,hyundai,jeep,yes,petrol,3.5,197923,6.0,automatic,4x4,4,left,red,12,12
94100,1935,toyota,jeep,yes,petrol,4.6,254805,8.0,automatic,4x4,4,left,white,12,8
4985800,1077,hyundai,jeep,yes,diesel,2.0,48000,4.0,automatic,front,4,left,white,4,5
22000,1055,mercedes-benz,sedan,yes,petrol,3.5,159250,6.0,automatic,rear,4,left,black,12,11
2132600,781,mercedes-benz,sedan,yes,petrol,5.0,2000,8.0,automatic,rear,4,left,grey,12,18
5107500,1017,hyundai,jeep,yes,diesel,2.0,40800,4.0,automatic,front,4,left,white,4,7
1524100,707,hyundai,coupe,yes,petrol,2.0,117492,4.0,automatic,front,4,left,grey,4,13
258700,382,ford,sedan,yes,hybrid,2.0,88795,4.0,automatic,front,4,left,black,0,9
1552400,1347,hyundai,minivan,yes,diesel,2.5,56769,4.0,automatic,front,4,left,silver,4,16
486100,779,toyota,sedan,yes,hybrid,2.5,136861,4.0,automatic,front,4,left,blue,12,11
2979300,781,mercedes-benz,sedan,yes,petrol,3.5,263000,4.0,automatic,rear,4,left,black,0,19
1820800,531,hyundai,sedan,yes,petrol,1.6,95665,4.0,automatic,front,4,left,grey,4,12
54900,481,hyundai,sedan,yes,hybrid,2.0,107387,4.0,automatic,front,4,left,silver,12,7
3449700,779,toyota,jeep,no,petrol,2.5,65350,4.0,automatic,front,4,left,white,12,11
492400,1282,chevrolet,jeep,yes,diesel,2.0,183923,4.0,automatic,front,4,left,silver,4,17
2822500,1079,toyota,jeep,no,petrol,2.0,24000,4.0,automatic,front,4,left,grey,8,6
1881700,738,chevrolet,hatchback,yes,petrol,1.4,29094,4.0,automatic,front,4,left,grey,0,7
486100,382,ford,sedan,yes,hybrid,2.0,148709,4.0,automatic,front,4,left,red,12,9
3732000,1055,mercedes-benz,sedan,yes,petrol,3.5,156800,4.0,automatic,4x4,4,left,black,12,11
70600,1017,ford,jeep,yes,petrol,2.0,251430,4.0,automatic,front,4,left,blue,12,7
3920100,456,toyota,sedan,yes,hybrid,2.5,35000,4.0,automatic,front,4,left,grey,10,9
784000,781,mercedes-benz,coupe,yes,petrol,3.2,255000,6.0,automatic,rear,2,left,silver,4,24
4641400,456,toyota,sedan,yes,hybrid,2.5,63645,4.0,automatic,front,4,left,white,12,9
4516000,798,mercedes-benz,jeep,yes,diesel,2.1,197338,4.0,automatic,4x4,4,left,white,12,9
290100,1277,hyundai,sedan,yes,petrol,2.4,45494,4.0,automatic,front,4,left,white,12,6
188200,442,toyota,sedan,yes,hybrid,1.8,47672,4.0,automatic,front,4,left,white,12,7
2728400,781,toyota,sedan,yes,petrol,2.5,52000,4.0,automatic,front,4,left,black,12,10
784000,790,hyundai,hatchback,yes,petrol,1.6,140000,4.0,automatic,front,4,left,silver,4,15
28200,289,ford,jeep,yes,hybrid,0.4,220474,4.0,automatic,front,4,left,grey,0,16
164600,1292,mercedes-benz,jeep,yes,petrol,3.0,59099,6.0,automatic,4x4,4,left,white,0,8
2419800,640,hyundai,jeep,yes,diesel,2.0,124000,4.0,automatic,front,4,left,silver,4,11
172500,777,chevrolet,sedan,yes,petrol,2.5,310061,4.0,automatic,front,4,left,blue,12,10
1724900,586,toyota,sedan,no,hybrid,1.8,22400,4.0,automatic,front,4,left,white,8,12
47000,1399,mercedes-benz,sedan,yes,petrol,3.5,229904,6.0,automatic,4x4,4,left,black,12,14
3136100,639,hyundai,sedan,yes,petrol,2.0,62000,4.0,automatic,front,4,left,white,12,10
470400,1047,hyundai,sedan,yes,diesel,1.6,54279,4.0,automatic,front,4,left,silver,4,17
1272000,645,chevrolet,sedan,yes,petrol,1.8,135759,4.0,automatic,front,4,left,grey,4,13
2637200,640,hyundai,jeep,yes,diesel,2.0,120534,4.0,automatic,front,4,left,silver,4,11
2559100,528,hyundai,sedan,yes,petrol,1.6,140000,4.0,automatic,front,4,left,white,4,10
642900,1211,mercedes-benz,sedan,yes,petrol,3.0,108517,6.0,automatic,4x4,4,left,white,12,14
1317200,1793,mercedes-benz,sedan,yes,diesel,5.5,325811,8.0,automatic,4x4,4,left,black,12,13
62700,1077,toyota,jeep,yes,petrol,2.0,24339,4.0,automatic,front,4,left,blue,12,5
1238800,919,bmw,jeep,yes,diesel,3.0,420794,6.0,automatic,4x4,4,left,black,12,12
1850300,781,hyundai,sedan,no,hybrid,2.0,280480,4.0,automatic,front,4,left,silver,9,12
2430200,765,chevrolet,sedan,yes,diesel,2.0,60618,4.0,automatic,front,4,left,black,4,9
1881700,781,toyota,sedan,yes,petrol,2.4,230400,4.0,automatic,front,4,left,silver,12,15
1724900,1051,hyundai,sedan,no,petrol,2.4,77000,4.0,automatic,front,4,left,silver,10,8
1881700,697,hyundai,sedan,no,petrol,1.8,85000,4.0,automatic,front,4,left,black,12,9
5582300,930,hyundai,jeep,yes,diesel,1.7,38577,4.0,automatic,front,4,left,black,4,6
2508900,781,toyota,sedan,yes,petrol,2.5,132800,6.0,automatic,rear,4,left,blue,12,11
1866900,862,hyundai,minivan,yes,diesel,2.5,52686,4.0,automatic,front,4,left,silver,4,13
1505300,1998,ford,microbus,no,diesel,2.4,253206,4.0,manual,rear,4,left,white,2,23
3700000,891,hyundai,jeep,yes,diesel,2.0,80000,4.0,automatic,front,4,left,silver,4,8
1458300,1172,mercedes-benz,sedan,yes,diesel,3.5,230696,6.0,automatic,4x4,4,left,black,12,13
2101200,781,mercedes-benz,minivan,no,diesel,2.2,285000,4.0,manual,rear,4,left,red,4,17
2264900,707,hyundai,jeep,yes,diesel,2.0,142000,4.0,automatic,front,4,left,white,4,13
1659000,862,hyundai,minivan,yes,diesel,2.5,42415,4.0,automatic,front,4,left,white,4,13
3198800,394,toyota,sedan,no,hybrid,2.5,51000,4.0,automatic,front,4,left,grey,12,10
22000,1053,mercedes-benz,sedan,yes,diesel,3.5,95987,6.0,automatic,4x4,4,left,black,12,10
1787600,1661,ford,hatchback,yes,hybrid,2.0,120000,4.0,automatic,front,4,right,silver,10,11
1379900,781,bmw,sedan,yes,petrol,4.8,240000,8.0,automatic,rear,4,left,black,12,19
4076900,1249,toyota,jeep,no,petrol,2.5,76000,4.0,automatic,4x4,4,left,black,12,7
784000,781,mercedes-benz,sedan,no,diesel,2.5,410918,2.0,manual,front,4,left,white,2,29
1277700,640,hyundai,sedan,yes,petrol,2.0,162558,4.0,automatic,front,4,left,black,4,11
1881700,781,toyota,hatchback,no,hybrid,1.5,130000,4.0,automatic,front,4,left,red,12,11
1254400,645,toyota,hatchback,no,hybrid,1.8,284678,4.0,automatic,front,4,left,silver,12,13
972200,473,chevrolet,sedan,no,petrol,1.4,121000,4.0,automatic,front,4,left,green,10,10
345000,831,hyundai,sedan,yes,hybrid,2.4,224349,4.0,automatic,front,4,left,grey,0,13
188200,308,toyota,hatchback,yes,hybrid,1.8,263392,4.0,automatic,front,4,left,red,12,10
1599100,1408,ford,microbus,no,diesel,2.2,280000,4.0,manual,front,4,left,white,2,17
1113300,394,toyota,sedan,yes,hybrid,2.5,179381,4.0,automatic,front,4,left,black,12,10
9400,1017,hyundai,jeep,yes,petrol,2.0,284251,4.0,automatic,front,4,left,grey,12,7
3418400,1058,mercedes-benz,sedan,yes,petrol,3.5,133000,6.0,automatic,rear,4,left,black,12,12
749500,1090,chevrolet,jeep,yes,diesel,2.0,71486,4.0,automatic,front,4,left,black,4,16
2000500,531,hyundai,sedan,yes,petrol,1.6,147718,4.0,automatic,front,4,left,silver,4,12
8467500,781,mercedes-benz,sedan,yes,petrol,2.0,4500,6.0,automatic,rear,4,left,black,12,6
1257000,761,chevrolet,sedan,yes,petrol,1.8,152293,4.0,automatic,front,4,left,grey,4,14
280000,781,bmw,sedan,no,diesel,2.4,455680,6.0,manual,rear,4,left,blue,4,36
1400900,595,toyota,hatchback,yes,petrol,1.5,137350,4.0,automatic,front,4,left,silver,4,9
831100,891,mercedes-benz,jeep,yes,petrol,2.0,109555,4.0,automatic,front,4,left,white,0,8
2352100,781,toyota,sedan,no,petrol,1.8,40000,4.0,automatic,front,4,left,green,16,10
2571600,891,ford,sedan,yes,petrol,2.0,65000,4.0,automatic,front,4,left,silver,12,8
8091100,1325,hyundai,minivan,yes,diesel,2.5,25541,4.0,automatic,front,4,left,black,4,5
1936900,707,hyundai,coupe,yes,petrol,2.0,153651,4.0,automatic,front,4,left,red,4,13
2529900,642,hyundai,jeep,yes,diesel,2.0,160000,4.0,automatic,front,4,left,grey,4,12
721300,880,chevrolet,sedan,yes,diesel,1.6,28515,4.0,automatic,front,4,left,grey,12,6
689900,531,chevrolet,hatchback,yes,petrol,1.6,94923,4.0,automatic,front,4,left,black,4,12
815400,1451,bmw,jeep,yes,petrol,4.4,147677,8.0,automatic,4x4,4,left,red,12,13
1881700,781,toyota,sedan,yes,hybrid,1.8,160000,4.0,automatic,front,4,left,silver,12,13
6149900,1077,hyundai,jeep,yes,diesel,2.0,1217,4.0,automatic,front,4,left,blue,4,5
1724900,781,toyota,sedan,no,hybrid,1.8,256000,6.0,automatic,front,4,left,white,1,14
987900,1267,toyota,hatchback,no,hybrid,1.5,137000,4.0,automatic,front,4,right,silver,6,11
1724900,781,toyota,hatchback,no,hybrid,1.8,141000,4.0,automatic,front,4,left,grey,6,13
5122500,1017,hyundai,sedan,yes,petrol,2.0,58414,4.0,automatic,front,4,left,silver,4,7
4979800,765,hyundai,jeep,yes,diesel,2.0,93555,4.0,automatic,front,4,left,white,4,9
1724900,585,hyundai,sedan,yes,petrol,1.8,64800,4.0,automatic,front,4,left,black,12,11
2916600,781,ford,jeep,yes,petrol,2.0,127000,4.0,automatic,4x4,4,left,silver,8,10
18800,765,mercedes-benz,jeep,yes,petrol,2.0,69555,4.0,automatic,front,4,left,red,12,9
62700,1079,hyundai,sedan,yes,petrol,2.0,47294,4.0,automatic,front,4,left,black,12,6
4359200,1714,mercedes-benz,jeep,yes,petrol,3.5,39814,6.0,automatic,rear,4,left,black,0,7
486100,1055,toyota,jeep,yes,petrol,3.5,125605,6.0,automatic,4x4,4,left,black,12,11
1356400,642,chevrolet,jeep,yes,diesel,2.0,228570,4.0,automatic,front,4,left,grey,4,12
1787600,642,ford,hatchback,no,hybrid,2.0,128205,4.0,automatic,front,4,left,silver,10,12
1034900,781,mercedes-benz,sedan,yes,petrol,2.4,2000,6.0,automatic,rear,4,left,black,12,22
1254400,781,mercedes-benz,sedan,yes,petrol,3.2,205500,6.0,automatic,rear,4,right,silver,8,20
560000,781,bmw,sedan,no,petrol,1.8,1000,4.0,manual,rear,4,left,grey,2,28
1458300,919,bmw,jeep,yes,diesel,3.0,229966,6.0,automatic,4x4,4,left,black,0,12
2163900,1172,toyota,sedan,yes,hybrid,3.5,368064,6.0,automatic,4x4,4,left,grey,12,13
900,781,toyota,sedan,no,hybrid,1.6,18000,1.0,automatic,4x4,4,left,white,5,19
2508900,919,mercedes-benz,sedan,yes,petrol,3.0,86000,6.0,automatic,4x4,4,left,white,12,12
30000,781,toyota,jeep,yes,petrol,2.7,120,4.0,automatic,4x4,4,left,white,10,5
1868800,707,hyundai,jeep,yes,diesel,2.0,143166,4.0,automatic,front,4,left,grey,4,13
2883000,629,hyundai,sedan,yes,petrol,1.6,68243,4.0,automatic,front,4,left,silver,4,9
2383400,697,ford,microbus,no,diesel,2.2,141000,4.0,manual,front,4,left,white,2,12
1662100,1172,mercedes-benz,sedan,yes,diesel,3.5,119379,6.0,automatic,4x4,4,left,silver,12,13
31400,1017,mercedes-benz,sedan,yes,petrol,2.0,26802,4.0,automatic,rear,4,left,black,12,7
1600000,781,ford,hatchback,no,hybrid,2.0,272000,4.0,automatic,front,4,left,grey,4,10
1191700,530,hyundai,sedan,yes,petrol,1.6,31691,4.0,automatic,front,4,left,white,4,11
1348500,1018,bmw,sedan,yes,petrol,3.0,120000,6.0,automatic,4x4,4,left,black,12,13
1599400,777,toyota,sedan,no,petrol,2.5,1440000,4.0,automatic,front,4,left,silver,0,10
1191700,641,chevrolet,jeep,yes,diesel,2.0,79749,4.0,automatic,front,4,left,silver,4,12
1881700,609,toyota,sedan,yes,hybrid,2.5,35058,4.0,automatic,front,4,left,white,12,6
156800,749,chevrolet,jeep,yes,petrol,2.4,251514,4.0,automatic,front,4,left,black,12,10
2195300,781,hyundai,sedan,no,hybrid,2.4,20000,2.0,automatic,front,4,right,black,4,11
1615100,586,toyota,hatchback,no,hybrid,1.8,110990,4.0,automatic,front,4,left,silver,8,12
2294700,836,hyundai,jeep,yes,diesel,2.0,171344,4.0,automatic,front,4,left,grey,4,14
4076900,919,bmw,sedan,yes,petrol,3.0,58450,6.0,automatic,rear,4,left,grey,12,12
2508900,777,toyota,sedan,yes,petrol,2.5,125000,4.0,automatic,front,4,left,grey,12,10
1097600,781,mercedes-benz,sedan,yes,petrol,5.0,167000,8.0,automatic,rear,4,left,black,8,27
548800,394,toyota,sedan,yes,hybrid,2.5,109798,4.0,automatic,front,4,left,white,12,10
500000,781,bmw,coupe,no,petrol,1.8,545654,4.0,manual,rear,2,left,black,4,27
972200,1111,toyota,hatchback,no,petrol,1.3,130000,4.0,automatic,4x4,4,right,white,4,12
1662100,1511,hyundai,coupe,yes,petrol,3.8,151977,4.0,automatic,front,4,left,blue,4,14
941800,765,hyundai,sedan,yes,petrol,2.0,676825,4.0,automatic,front,4,left,white,4,9
376300,781,bmw,sedan,no,petrol,2.0,199000,6.0,manual,rear,4,left,white,0,35
1003600,781,bmw,sedan,yes,petrol,2.5,320000,6.0,automatic,rear,4,left,black,4,24
172500,584,hyundai,sedan,yes,petrol,1.8,107155,4.0,automatic,front,4,left,black,12,10
54900,584,hyundai,sedan,yes,petrol,1.8,140082,4.0,automatic,front,4,left,black,12,10
31400,781,toyota,sedan,yes,hybrid,2.5,249422,4.0,automatic,front,4,left,black,12,12
454700,1598,mercedes-benz,jeep,yes,diesel,3.0,213998,6.0,automatic,4x4,4,left,silver,12,16
